Timestamp,What is your Faculty?,Year of Study?,"On average, how many days a week do you use the Open Area?",How long do you plan to be in the Open Area today?,What activities are you doing in the Open Area today?,"Please rate how the environmental conditions are affecting your focus RIGHT NOW 
(1 = Very Disruptive, 5 = Excellent/Perfect): [Thermal Comfort]","Please rate how the environmental conditions are affecting your focus RIGHT NOW 
(1 = Very Disruptive, 5 = Excellent/Perfect): [Noice Level]","Please rate how the environmental conditions are affecting your focus RIGHT NOW 
(1 = Very Disruptive, 5 = Excellent/Perfect): [Lighting Conditions]","Please rate how the environmental conditions are affecting your focus RIGHT NOW 
(1 = Very Disruptive, 5 = Excellent/Perfect): [Occupancy Level]","Please rate how the environmental conditions are affecting your focus RIGHT NOW 
(1 = Very Disruptive, 5 = Excellent/Perfect): [Weather Conditions(Rain/Breeze)]",What are the top reasons you chose to sit here today? ,Are you currently using an electronic device (laptop/phone/tablet) that requires a continuous power supply to stay here?,"If you had a strict assignment deadline due tomorrow morning, how would your behavior change?","If this space became significantly louder right now due to a social event, what would you do?",How does rainy weather typically affect your choice to use the Open Area?,To what extent would the installation of ceiling/wall fans change your usage of the Open Area during warm periods?,Any suggestions to improve infrastructure of the area?,Other comments on the area if you have any?
7/8/2026 18:15:12,UCSC,3rd Year,1 - 2 days,30 - 60 mins,Casual Socializing / Chatting,5,3,4,3,4,"Availability of power plugs, To meet up with friends",No,I would continue working here if I can maintain focus,Stay here and switch to casual socializing/phone scrolling,I avoid the Open Area entirely because of the dampness/splashing,"It would make my current stay more comfortable, but it wouldn't change how long I stay or what I do",Fans,
7/8/2026 19:04:41,UCSC,3rd Year,1 - 2 days,Less than 30 mins,Casual Socializing / Chatting,3,2,5,2,5,Availability of power plugs,"Yes, but I am running on battery power","I would immediately find another quiet space on campus (e.g., Library).",Stay here and try to tolerate the noise to finish my work,It doesn’t affect my usage; I still use it for the same activities,"It would make me choose this space instead of going elsewhere (e.g., the library or empty lecture rooms)",Fans,
7/8/2026 19:34:22,UCSC,3rd Year,1 - 2 days,Less than 30 mins,Casual Socializing / Chatting,2,1,2,3,1,To meet up with friends,No,"I would immediately find another quiet space on campus (e.g., Library).","Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",I avoid the Open Area entirely because of the dampness/splashing,It would not affect my usage of the space at all,The environment should be more private in my opinion,
7/13/2026 8:13:12,FOS,2nd Year,1 - 2 days,30 - 60 mins,"Individual Academic Work, Collaborative Academic Work (Group), Casual Socializing / Chatting",3,2,4,4,4,Large seating space,"Yes, and I am currently plugged into a wall socket","I would stay, but move if it gets too distracting","Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",It doesn’t affect my usage; I still use it for the same activities,"It would make my current stay more comfortable, but it wouldn't change how long I stay or what I do",Fans,
7/13/2026 8:20:47,FOS,2nd Year,5+ days,2+ hours,"Individual Academic Work, Casual Socializing / Chatting",1,3,1,1,2,"Availability of power plugs, Large seating space","Yes, but I am running on battery power",I would continue working here if I can maintain focus,"Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",I only use it to wait or seek shelter until the rain stops,It would significantly increase the time I spend here doing academic work.,Fans,
7/13/2026 8:21:08,FOS,2nd Year,5+ days,2+ hours,Individual Academic Work,1,1,2,2,1,"Availability of power plugs, Atmosphere/Vibe, To meet up with friends","Yes, and I am currently plugged into a wall socket",I would continue working here if I can maintain focus,"Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",I avoid the Open Area entirely because of the dampness/splashing,It would significantly increase the time I spend here doing academic work.,Fans,Give wifi connection and fans 
7/13/2026 8:23:06,FOS,2nd Year,3 - 4 days,1 - 2 hours,Individual Academic Work,3,2,4,3,3,"Availability of power plugs, Wi-Fi/Signal strength, Atmosphere/Vibe",No,I would continue working here if I can maintain focus,"Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",I only use it to wait or seek shelter until the rain stops,"It would make me choose this space instead of going elsewhere (e.g., the library or empty lecture rooms)",Fans,
7/13/2026 8:49:09,UCSC,2nd Year,3 - 4 days,Less than 30 mins,Casual Socializing / Chatting,2,3,2,2,3,"Proximity to faculty/lectures, Large seating space, Atmosphere/Vibe, To meet up with friends","Yes, and I am currently plugged into a wall socket","I would immediately find another quiet space on campus (e.g., Library).",Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would significantly increase the time I spend here doing academic work.,Curtains/Rain Shields,"Need fans , curtains and rain shields also."
7/13/2026 9:12:34,UCSC,2nd Year,1 - 2 days,30 - 60 mins,"Collaborative Academic Work (Group), Casual Socializing / Chatting, Recreation (Gaming, Social Media, Relaxing)",1,4,4,4,4,To meet up with friends,"Yes, and I am currently plugged into a wall socket",I would continue working here if I can maintain focus,"Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",It doesn’t affect my usage; I still use it for the same activities,"It would make my current stay more comfortable, but it wouldn't change how long I stay or what I do",Fans,"If they change the chair as, backbone supported chair, then it would be more comfortable and help to maintain back alignment. "
7/13/2026 9:17:33,UCSC,2nd Year,3 - 4 days,Less than 30 mins,"Casual Socializing / Chatting, Recreation (Gaming, Social Media, Relaxing)",1,1,3,1,5,"Availability of power plugs, To meet up with friends",No,"I would immediately find another quiet space on campus (e.g., Library).",Stay here and switch to casual socializing/phone scrolling,It doesn’t affect my usage; I still use it for the same activities,It would significantly increase the time I spend here doing academic work.,"Install ceiling/wall fans and curtains/rain shields. Also, replace the current chairs with chairs that have backrests. The current chairs are uncomfortable for sitting for long periods for studying and can cause back pain.",
